epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7932,1.39917,2.5265,1.2261,0.49242,0.44465,0.431,0.23266,1.52493,5.10105,1.46931,0.0684498,0.00166054,0.00166054
2,167.496,1.29659,1.58027,1.21217,0.65806,0.36532,0.37748,0.20028,1.60208,2.56026,1.52896,0.0367172,0.00326133,0.00326133
3,248.346,1.27125,1.42761,1.20202,0.47803,0.47913,0.47121,0.2494,1.66033,1.8309,1.55763,0.00491866,0.00479612,0.00479612
4,328.121,1.23814,1.31942,1.18306,0.78421,0.47934,0.58365,0.31059,1.61563,1.33666,1.51599,0.004703,0.004703,0.004703
5,407.569,1.19332,1.18052,1.16019,0.64055,0.56462,0.59264,0.36311,1.45164,1.52165,1.41688,0.004604,0.004604,0.004604
6,488.175,1.16292,1.12771,1.15406,0.7904,0.55812,0.62842,0.36485,1.4777,1.29343,1.40395,0.004505,0.004505,0.004505
7,567.256,1.13875,1.07039,1.14279,0.82694,0.55722,0.64229,0.39129,1.41901,1.20036,1.39158,0.004406,0.004406,0.004406
8,646.06,1.11776,1.02962,1.12798,0.72547,0.68402,0.68753,0.41674,1.45985,1.08248,1.39637,0.004307,0.004307,0.004307
9,727.164,1.09973,0.96458,1.12382,0.58865,0.69569,0.70134,0.43718,1.34705,0.96479,1.3383,0.004208,0.004208,0.004208
10,806.915,1.08462,0.9467,1.11498,0.79314,0.63246,0.72111,0.44818,1.3553,0.959,1.3307,0.004109,0.004109,0.004109
11,889.917,1.07609,0.92739,1.10919,0.72812,0.6683,0.71204,0.46059,1.33265,1.01247,1.32176,0.00401,0.00401,0.00401
12,970.311,1.06939,0.89321,1.10359,0.71689,0.70792,0.73547,0.49013,1.27169,0.90289,1.29158,0.003911,0.003911,0.003911
13,1049.37,1.04033,0.84748,1.09029,0.73135,0.74909,0.7823,0.51182,1.2753,0.89534,1.27191,0.003812,0.003812,0.003812
14,1129.03,1.04705,0.86506,1.0948,0.79157,0.67375,0.74572,0.4854,1.34882,0.87334,1.32938,0.003713,0.003713,0.003713
15,1209.02,1.03874,0.8434,1.08955,0.75673,0.70237,0.74922,0.46593,1.36452,0.9229,1.32509,0.003614,0.003614,0.003614
16,1289.46,1.02419,0.79647,1.07882,0.80566,0.69845,0.77886,0.51447,1.26172,0.83628,1.27763,0.003515,0.003515,0.003515
17,1371.14,1.02635,0.78781,1.07451,0.64816,0.7927,0.76673,0.5126,1.25913,0.78086,1.27807,0.003416,0.003416,0.003416
18,1453.3,1.00809,0.79753,1.07762,0.70404,0.78973,0.7674,0.51372,1.23984,0.82382,1.26511,0.003317,0.003317,0.003317
19,1534.35,1.00349,0.77163,1.06569,0.74255,0.72931,0.8043,0.5384,1.24629,0.81953,1.25764,0.003218,0.003218,0.003218
20,1616.34,0.99706,0.74085,1.06515,0.73988,0.7647,0.79555,0.52656,1.25736,0.76213,1.27114,0.003119,0.003119,0.003119
21,1695.13,0.97904,0.73167,1.05877,0.69324,0.76627,0.78155,0.4934,1.31953,0.8203,1.30647,0.00302,0.00302,0.00302
22,1777.75,0.97308,0.72498,1.06266,0.74264,0.76589,0.80725,0.54811,1.22013,0.75095,1.24018,0.002921,0.002921,0.002921
23,1865.57,0.98114,0.71091,1.05839,0.68204,0.73873,0.79195,0.53861,1.25847,0.7655,1.27521,0.002822,0.002822,0.002822
24,1951.51,0.9569,0.70198,1.04294,0.76097,0.77689,0.82527,0.54483,1.23005,0.74244,1.25915,0.002723,0.002723,0.002723
25,2038.54,0.96529,0.69564,1.04588,0.77532,0.80787,0.83902,0.54954,1.25032,0.72024,1.27174,0.002624,0.002624,0.002624
26,2122.57,0.96148,0.68365,1.04605,0.77647,0.80295,0.85125,0.57341,1.2058,0.72197,1.24226,0.002525,0.002525,0.002525
27,2205.02,0.94377,0.6716,1.04206,0.75213,0.78731,0.81923,0.55172,1.23772,0.73406,1.25902,0.002426,0.002426,0.002426
28,2285.65,0.93874,0.65411,1.03837,0.75178,0.79715,0.82119,0.55765,1.22099,0.72884,1.24832,0.002327,0.002327,0.002327
29,2366.81,0.93691,0.65449,1.0399,0.78558,0.79151,0.82988,0.5388,1.32493,0.72983,1.31031,0.002228,0.002228,0.002228
30,2448.16,0.92181,0.63791,1.03086,0.78634,0.85514,0.87062,0.5889,1.2104,0.68487,1.2458,0.002129,0.002129,0.002129
31,2532.89,0.91805,0.63261,1.02712,0.8261,0.81961,0.87526,0.59961,1.19949,0.67617,1.23589,0.00203,0.00203,0.00203
32,2617.28,0.90317,0.61339,1.02019,0.74918,0.81707,0.81408,0.56603,1.19005,0.70529,1.22549,0.001931,0.001931,0.001931
33,2703.5,0.90546,0.61064,1.01825,0.74334,0.8496,0.8409,0.57023,1.226,0.67775,1.25101,0.001832,0.001832,0.001832
34,2789.99,0.90482,0.60652,1.02352,0.81249,0.79594,0.85478,0.58493,1.20165,0.67471,1.2348,0.001733,0.001733,0.001733
35,2874.05,0.88652,0.58872,1.00708,0.75159,0.80415,0.85255,0.58496,1.19469,0.66861,1.23039,0.001634,0.001634,0.001634
36,2956.84,0.87824,0.58039,1.01067,0.75002,0.86237,0.85706,0.59186,1.17454,0.66095,1.22501,0.001535,0.001535,0.001535
37,3040.2,0.89001,0.58654,1.01181,0.74408,0.86648,0.8624,0.58909,1.202,0.65722,1.24038,0.001436,0.001436,0.001436
38,3124.57,0.86398,0.56595,0.99716,0.80606,0.83959,0.86612,0.59285,1.19935,0.65773,1.2339,0.001337,0.001337,0.001337
